D90,Rrup,Mw,Vs30,zh,
39.11086805,85.89940439,6.1,243.39799,1,1
48.4225526,79.4391103,6.1,363.31973,2,1
30.7337697,68.68315941,6.1,206.55794,3,1
26.57704272,49.13109787,6.1,336.31079,4,1
20.65,41.22424243,6.1,480.68826,5,1
31.70389251,53.04433537,6.1,243.66833,6,1
24.10040871,56.80834063,6.1,248.68715,7,1
78.79916243,78.81598153,6.1,127.1408,8,1
49.8061442,65.0173896,6.1,131.13963,9,1
21.84807543,41.61656253,6.1,245.74942,10,1
30.50097212,51.83552703,6.1,275.56555,11,1
36.45490502,58.70999868,6.1,290.70941,12,1
37.12605554,71.42686518,6.1,185.37057,13,1
58.78425384,84.13129931,6.1,171.66423,14,1
35.88692241,61.73543883,6.1,166.97049,15,1
40.90658382,77.31592145,6.1,255.86218,16,1
24.24240087,74.28284179,6.1,389.23804,17,1
55.85238043,103.0227158,6.1,144.11224,18,1
45.67015875,87.29736106,6.1,165.19353,19,1
41.9849997,90.784659,6.1,307.31921,20,1
57.60073177,66.37099102,6.1,215.21594,21,1
26.54335698,124.5912558,6.1,228.0233,22,1
33.13278286,113.7285911,6.1,432.8886,23,1
28.23985659,102.5326584,6.1,274.5092,24,1
29.89346082,99.55655595,6.1,333.0297,25,1
28.6749211,92.01696216,6.1,265.5409,26,1
25.00404767,80.24008058,6.1,307.42,27,1
41.31139431,90.71753889,6.1,203.2111,28,1
40.70282545,79.90296305,6.1,238.2027,29,1
50.77933438,74.66671572,6.1,246.7284,30,1
31.92657827,65.63063006,6.1,274.122,31,1
42.51068454,71.15303406,6.1,270.7708,32,1
53.90290716,88.08382491,6.1,218.1334,33,1
29.64460828,72.18601728,6.1,281.2124,34,1
29.60251341,58.46457397,6.1,258.5682,35,1
28.24144826,50.22864636,6.1,291.7127,36,1
45.17571139,95.15546761,6.1,136.088,37,1
47.28484747,102.8052518,6.1,119.6667,38,1
38.71174886,113.0431313,6.1,458.2165,39,1
54.80239958,146.1703796,6.1,99.70285,40,1
90.27486693,102.8698323,6.1,89.19601,41,1
50.52268105,95.12939828,6.1,156.3224,42,1
59.60677646,101.0582284,6.1,146.4362,43,1
61.05047911,93.51494683,6.1,120.869,44,1
36.42963903,174.1476313,6.1,199.3158,45,1
36.1018753,143.9488965,6.1,256.9584,46,1
31.95946182,105.4431053,6.1,363.2759,47,1
32.79787341,108.1274562,6.1,421.7628,48,1
39.53273074,127.9188268,6.1,253.933,49,1
49.78517852,118.2986363,6.1,321.4917,50,1
58.3575188,95.39574041,6.1,293.7617,51,1
48.15012773,106.2368938,6.2,144.11224,52,2
31.24478837,76.93283179,6.2,309.6915,53,2
21.19300356,61.97106975,6.2,199.3158,54,2
29.63681157,54.24100405,6.2,486.1633,55,2
33.33430665,65.36796317,6.2,211.9324,56,2
25.90457489,100.2805578,6.2,302.2495,57,2
39.87065462,58.9644653,6.2,430.6437,58,2
57.27932611,50.42430123,6.2,298.2384,59,2
12.91466608,16.53683669,6.2,264.1159,60,2
14.89744945,25.87832845,6.2,328.346,61,2
28.49890349,107.9152154,6,119.6667,62,3
13.35830079,93.52401893,6,458.2165,63,3
18.41262882,103.7011676,6,138.1374,64,3
46.33860162,84.32885687,6,99.70285,65,3
18.05155118,72.19516958,6,399.9957,66,3
20.10832663,52.97753643,6,309.6915,67,3
12.76993735,38.84098058,6,199.3158,68,3
13.36494669,38.55008143,6,486.1633,69,3
18.27953774,47.98909445,6,211.9324,70,3
16.2637511,59.65163532,6,576.5403,71,3
23.30665141,89.19367354,6,130.5803,72,3
36.58093766,89.24081534,6,224.2975,73,3
20.06676357,91.13676819,6,302.2495,74,3
9.867674498,141.7607439,6,253.933,75,3
21.08863201,118.8579862,6,278.458,76,3
12.47894226,34.05789434,6,430.6437,77,3
27.50357068,26.2979408,6,298.2384,78,3
26.83354617,34.61437632,6,328.346,79,3
16.87523333,131.6092844,5.2,346.2746,80,4
12.35281344,96.15163924,5.2,399.9957,81,4
23.10424636,96.98892704,5.2,309.6915,82,4
18.8561714,95.01690321,5.2,199.3158,83,4
15.07852778,82.92609532,5.2,486.1633,84,4
14.20695252,75.30253343,5.2,211.9324,85,4
7.850159234,71.71222465,5.2,576.5403,86,4
11.38728238,83.65425246,5.2,459.312,87,4
23.62382907,77.6109502,5.2,360.4274,88,4
17.89092228,62.66112511,5.2,323.0094,89,4
9.12885535,59.261448,5.2,369.3285,90,4
12.43137161,47.51968053,5.2,130.5803,91,4
13.05326396,47.87762897,5.2,529.2412,92,4
16.04355946,41.11313496,5.2,224.2975,93,4
11.98142312,51.89877021,5.2,308.4477,94,4
9.876942847,45.00414895,5.2,302.2495,95,4
11.618042,34.87099675,5.2,662.6323,96,4
15.37348367,143.3641375,5.2,253.933,97,4
12.12781926,107.7521914,5.2,303.7069,98,4
17.30339562,89.01710603,5.2,455.1924,99,4
13.97368956,101.8872667,5.2,384.4722,100,4
16.01962234,76.80727869,5.2,420.9702,101,4
10.27816131,56.00982801,5.2,403.4972,102,4
19.24781546,61.92402711,5.2,526.4553,103,4
21.25619439,72.16009894,5.2,260.7138,104,4
10.32378322,51.74163758,5.2,243.39799,105,5
20.71289936,50.59959158,5.2,363.31973,106,5
17.94597727,47.77597186,5.2,206.55794,107,5
22.46695351,59.68904395,5.2,336.31079,108,5
19.62979368,52.01395626,5.2,243.66833,109,5
21.86425165,51.2880324,5.2,248.68715,110,5
23.87411778,55.20245784,5.2,127.1408,111,5
35.06881948,55.15688711,5.2,131.13963,112,5
26.73556059,66.57281083,5.2,245.74942,113,5
30.42474158,61.53984064,5.2,275.56555,114,5
31.03642215,64.0509209,5.2,185.37057,115,5
51.55602778,73.82393603,5.2,171.66423,116,5
21.9397721,80.50771371,5.2,307.31921,117,5
23.35792371,53.72409144,5.2,215.21594,118,5
25.4847837,135.0642383,5.2,584.48499,119,5
22.32927451,102.5262562,5.2,416.52783,120,5
34.99659983,79.58572206,5.2,278.27405,121,5
25.61487654,93.11250115,5.2,274.86993,122,5
27.70665624,113.8374466,5.2,228.0233,123,5
13.14531095,118.2283274,5.2,432.8886,124,5
29.44893886,105.7888998,5.2,274.5092,125,5
16.30987124,91.71751722,5.2,333.0297,126,5
14.49198399,75.42432812,5.2,265.5409,127,5
23.14808847,79.97330222,5.2,420.4355,128,5
24.12107792,84.90831178,5.2,307.42,129,5
21.03381801,68.24813268,5.2,522.9963,130,5
18.65571226,59.64144409,5.2,203.2111,131,5
13.13585551,54.98184966,5.2,238.2027,132,5
16.7428313,61.78535228,5.2,246.7284,133,5
17.52722454,67.65433434,5.2,274.122,134,5
18.89694155,53.13916767,5.2,270.7708,135,5
21.87106307,54.43118316,5.2,218.1334,136,5
15.50231596,47.35299506,5.2,281.2124,137,5
18.78445368,52.4125796,5.2,258.5682,138,5
23.23998064,69.24014166,5.2,291.7127,139,5
30.92119661,69.26835178,5.2,136.088,140,5
38.39117086,78.50138925,5.2,119.6667,141,5
