D90,r,m,v,,
39.11086805,0.680977785,-0.085714286,0.024039586,1,1
48.4225526,0.651464236,-0.085714286,0.283230671,2,1
30.7337697,0.596546127,-0.085714286,-0.082149165,3,1
26.57704272,0.470086415,-0.085714286,0.233249123,4,1
20.65,0.403851915,-0.085714286,0.464357724,5,1
31.70389251,0.499014802,-0.085714286,0.024757839,6,1
24.10040871,0.524892858,-0.085714286,0.0379493,7,1
78.79916243,0.648491582,-0.085714286,-0.396144089,8,1
49.8061442,0.575841716,-0.085714286,-0.37610716,9,1
21.84807543,0.40742729,-0.085714286,0.030260449,10,1
30.50097212,0.490313053,-0.085714286,0.104353985,11,1
36.45490502,0.537322046,-0.085714286,0.138969263,12,1
37.12605554,0.611331963,-0.085714286,-0.152173471,13,1
58.78425384,0.673126904,-0.085714286,-0.201876111,14,1
35.88692241,0.556289612,-0.085714286,-0.219813961,15,1
40.90658382,0.641238002,-0.085714286,0.056352968,16,1
24.24240087,0.626131353,-0.085714286,0.327816172,17,1
55.85238043,0.749593007,-0.085714286,-0.315072859,18,1
45.67015875,0.687071545,-0.085714286,-0.226736799,19,1
41.9849997,0.701857403,-0.085714286,0.174920113,20,1
57.60073177,0.583619775,-0.085714286,-0.055581466,21,1
26.54335698,0.821347455,-0.085714286,-0.018179249,22,1
33.13278286,0.786912524,-0.085714286,0.396588657,23,1
28.23985659,0.747793137,-0.085714286,0.101868898,24,1
29.89346082,0.736674331,-0.085714286,0.226905614,25,1
28.6749211,0.706946798,-0.085714286,0.080377185,26,1
25.00404767,0.655251222,-0.085714286,0.175132282,27,1
41.31139431,0.701578218,-0.085714286,-0.092718812,28,1
40.70282545,0.653661959,-0.085714286,0.010079292,29,1
50.77933438,0.628077037,-0.085714286,0.032832874,30,1
31.92657827,0.579385386,-0.085714286,0.100955605,31,1
42.51068454,0.609882033,-0.085714286,0.092996765,32,1
53.90290716,0.690457029,-0.085714286,-0.046869256,33,1
29.64460828,0.615322777,-0.085714286,0.117478829,34,1
29.60251341,0.535740771,-0.085714286,0.063160088,35,1
28.24144826,0.478426163,-0.085714286,0.141198437,36,1
45.17571139,0.71960709,-0.085714286,-0.352141716,37,1
47.28484747,0.74879537,-0.085714286,-0.435344298,38,1
38.71174886,0.78463052,-0.085714286,0.433379714,39,1
54.80239958,0.881643767,-0.085714286,-0.553437866,40,1
90.27486693,0.749032421,-0.085714286,-0.625489904,41,1
50.52268105,0.71950366,-0.085714286,-0.262451064,42,1
59.60677646,0.742325554,-0.085714286,-0.304722048,43,1
61.05047911,0.713042451,-0.085714286,-0.428875972,44,1
36.42963903,0.947751725,-0.085714286,-0.105241991,45,1
36.1018753,0.875862848,-0.085714286,0.059119196,46,1
31.95946182,0.758358814,-0.085714286,0.28315261,47,1
32.79787341,0.767848303,-0.085714286,0.379741687,48,1
39.53273074,0.831296829,-0.085714286,0.051455923,49,1
49.78517852,0.801784194,-0.085714286,0.204091338,50,1
58.3575188,0.720559043,-0.085714286,0.145727317,51,1
48.15012773,0.761189874,-0.028571429,-0.315072859,52,2
31.24478837,0.639363,-0.028571429,0.179895561,53,2
21.19300356,0.557727623,-0.028571429,-0.105241991,54,2
29.63681157,0.507435995,-0.028571429,0.471685753,55,2
33.33430665,0.577871611,-0.028571429,-0.065529269,56,2
25.90457489,0.739409521,-0.028571429,0.164157307,57,2
39.87065462,0.538954614,-0.028571429,0.393224514,58,2
57.27932611,0.479893693,-0.028571429,0.155513189,59,2
12.91466608,0.059049591,-0.028571429,0.076895605,60,2
14.89744945,0.228090223,-0.028571429,0.217741234,61,2
28.49890349,0.767106631,-0.142857143,-0.435344298,62,3
13.35830079,0.713079069,-0.142857143,0.433379714,63,3
18.41262882,0.752070725,-0.142857143,-0.342470476,64,3
46.33860162,0.674012261,-0.142857143,-0.553437866,65,3
18.05155118,0.615370633,-0.142857143,0.34545599,66,3
20.10832663,0.498539143,-0.142857143,0.179895561,67,3
12.76993735,0.381372854,-0.142857143,-0.105241991,68,3
13.36494669,0.378535093,-0.142857143,0.471685753,69,3
18.27953774,0.461208727,-0.142857143,-0.065529269,70,3
16.2637511,0.543328299,-0.142857143,0.582004954,71,3
23.30665141,0.695183509,-0.142857143,-0.378872745,72,3
36.58093766,0.695382966,-0.142857143,-0.028838773,73,3
20.06676357,0.703318625,-0.142857143,0.164157307,74,3
9.867674498,0.870080779,-0.142857143,0.051455923,75,3
21.08863201,0.803564814,-0.142857143,0.111110093,76,3
12.47894226,0.331766902,-0.142857143,0.393224514,77,3
27.50357068,0.234161872,-0.142857143,0.155513189,78,3
26.83354617,0.337884785,-0.142857143,0.217741234,79,3
16.87523333,0.842032943,-0.6,0.252140096,80,4
12.35281344,0.723538325,-0.6,0.34545599,81,4
23.10424636,0.726811175,-0.6,0.179895561,82,4
18.8561714,0.71905701,-0.6,-0.105241991,83,4
15.07852778,0.667680317,-0.6,0.471685753,84,4
14.20695252,0.631277811,-0.6,-0.065529269,85,4
7.850159234,0.612837033,-0.6,0.582004954,86,4
11.38728238,0.67098041,-0.6,0.434924784,87,4
23.62382907,0.642675675,-0.6,0.278059149,88,4
17.89092228,0.56190766,-0.6,0.207138658,89,4
9.12885535,0.540851064,-0.6,0.293844078,90,4
12.43137161,0.457498177,-0.6,-0.378872745,91,4
13.05326396,0.460330928,-0.6,0.526618487,92,4
16.04355946,0.402833163,-0.6,-0.028838773,93,4
11.98142312,0.490773323,-0.6,0.177291688,94,4
9.876942847,0.436967407,-0.6,0.164157307,95,4
11.618042,0.340672972,-0.6,0.672055476,96,4
15.37348367,0.874326306,-0.6,0.051455923,97,4
12.12781926,0.766535956,-0.6,0.167269692,98,4
17.30339562,0.694435514,-0.6,0.429095339,99,4
13.97368956,0.745409591,-0.6,0.31984501,100,4
16.01962234,0.638746459,-0.6,0.378524607,101,4
10.27816131,0.519549282,-0.6,0.35109535,102,4
19.24781546,0.557440968,-0.6,0.523203552,103,4
21.25619439,0.615187219,-0.6,0.068506999,104,4
10.32378322,0.489628708,-0.6,0.024039586,105,5
20.71289936,0.481203648,-0.6,0.283230671,106,5
17.94597727,0.459528588,-0.6,-0.082149165,107,5
22.46695351,0.543564948,-0.6,0.233249123,108,5
19.62979368,0.491610184,-0.6,0.024757839,109,5
21.86425165,0.486304865,-0.6,0.0379493,110,5
23.87411778,0.514068411,-0.6,-0.396144089,111,5
35.06881948,0.513756667,-0.6,-0.37610716,112,5
26.73556059,0.584765864,-0.6,0.030260449,113,5
30.42474158,0.555091738,-0.6,0.104353985,114,5
31.03642215,0.570188465,-0.6,-0.152173471,115,5
51.55602778,0.623792128,-0.6,-0.201876111,116,5
21.9397721,0.65650817,-0.6,0.174920113,117,5
23.35792371,0.503821404,-0.6,-0.055581466,118,5
25.4847837,0.851814516,-0.6,0.590860127,119,5
22.32927451,0.747769567,-0.6,0.371660406,120,5
34.99659983,0.652160263,-0.6,0.110682522,121,5
25.61487654,0.71141445,-0.6,0.102718597,122,5
27.70665624,0.787273655,-0.6,-0.018179249,123,5
13.14531095,0.801559779,-0.6,0.396588657,124,5
29.44893886,0.759594707,-0.6,0.101868898,125,5
16.30987124,0.705716391,-0.6,0.226905614,126,5
14.49198399,0.631887853,-0.6,0.080377185,127,5
23.14808847,0.653994109,-0.6,0.377702251,128,5
24.12107792,0.676597184,-0.6,0.175132282,129,5
21.03381801,0.594147644,-0.6,0.5189383,130,5
18.65571226,0.543263803,-0.6,-0.092718812,131,5
13.13585551,0.512556854,-0.6,0.010079292,132,5
16.7428313,0.556594682,-0.6,0.032832874,133,5
17.52722454,0.590848993,-0.6,0.100955605,134,5
18.89694155,0.499689053,-0.6,0.092996765,135,5
21.87106307,0.508757189,-0.6,-0.046869256,136,5
15.50231596,0.456171763,-0.6,0.117478829,137,5
18.78445368,0.494492065,-0.6,0.063160088,138,5
23.23998064,0.599594922,-0.6,0.141198437,139,5
30.92119661,0.599748684,-0.6,-0.352141716,140,5
38.39117086,0.64698187,-0.6,-0.435344298,141,5
28.64554939,0.664490373,-0.6,0.316097452,142,5
23.76592519,0.712657829,-0.6,-0.342470476,143,5
39.6547702,0.562912013,-0.6,-0.625489904,144,5
26.35635787,0.752784337,-0.6,0.065617987,145,5
24.62451015,0.658548206,-0.6,0.670870244,146,5
22.62836715,0.526143049,-0.6,-0.262451064,147,5
21.7382796,0.613911728,-0.6,0.212276275,148,5
32.25902664,0.554905323,-0.6,-0.304722048,149,5
38.36851053,0.53086826,-0.6,-0.428875972,150,5
13.11192206,0.838614649,-0.6,0.34545599,151,5
18.51853936,0.870984564,-0.6,0.179895561,152,5
16.7920368,0.90830813,-0.6,-0.105241991,153,5
21.80322224,0.806373506,-0.6,0.265224271,154,5
20.88163308,0.791431933,-0.6,0.050777534,155,5
22.91218017,0.716781762,-0.6,0.178617334,156,5
24.9103352,0.778504323,-0.6,0.059119196,157,5
21.13469186,0.785419744,-0.6,0.519130031,158,5
25.16013116,0.607399047,-0.6,0.307286736,159,5
17.80722325,0.648856975,-0.6,0.28315261,160,5
15.02892212,0.694254686,-0.6,0.379741687,161,5
28.49959649,0.663258773,-0.6,0.204091338,162,5
27.26698003,0.556489855,-0.6,0.145727317,163,5
17.08069085,0.874950324,-0.6,0.393224514,164,5
26.32557692,0.763441835,-0.314285714,0.024039586,165,6
40.96123289,0.713159909,-0.314285714,0.283230671,166,6
26.00482648,0.699131596,-0.314285714,-0.082149165,167,6
46.37794735,0.727200945,-0.314285714,0.233249123,168,6
45.12833256,0.684346909,-0.314285714,0.024757839,169,6
30.89595443,0.667987619,-0.314285714,0.0379493,170,6
42.36843518,0.678698571,-0.314285714,-0.396144089,171,6
46.08217551,0.642194073,-0.314285714,-0.37610716,172,6
47.26956738,0.676448228,-0.314285714,0.030260449,173,6
52.40839818,0.640902224,-0.314285714,-0.015512702,174,6
44.31781245,0.623532139,-0.314285714,0.104353985,175,6
40.69035266,0.590531263,-0.314285714,0.138969263,176,6
29.7515008,0.616929741,-0.314285714,-0.152173471,177,6
54.1142375,0.622351671,-0.314285714,-0.201876111,178,6
49.63941982,0.574494292,-0.314285714,-0.219813961,179,6
35.78088875,0.587954613,-0.314285714,0.056352968,180,6
16.46138512,0.570666538,-0.314285714,0.327816172,181,6
63.81142139,0.634797065,-0.314285714,-0.315072859,182,6
44.73963791,0.586337935,-0.314285714,-0.226736799,183,6
17.64400748,0.651135971,-0.314285714,0.746452675,184,6
21.40991593,0.627989275,-0.314285714,0.174920113,185,6
49.01875559,0.651250424,-0.314285714,-0.055581466,186,6
22.64961368,0.924298372,-0.314285714,0.371660406,187,6
35.48991124,0.897765552,-0.314285714,0.102718597,188,6
35.28964154,0.917299123,-0.314285714,0.101868898,189,6
24.60751105,0.896325899,-0.314285714,0.226905614,190,6
19.21136382,0.860604248,-0.314285714,0.080377185,191,6
34.48550565,0.84768047,-0.314285714,0.5189383,192,6
49.75301398,0.838065545,-0.314285714,0.097476041,193,6
32.4739511,0.816775961,-0.314285714,-0.092718812,194,6
36.64966166,0.79388683,-0.314285714,0.010079292,195,6
43.49970575,0.807843431,-0.314285714,0.032832874,196,6
28.06432255,0.802507245,-0.314285714,0.100955605,197,6
35.26989226,0.775284586,-0.314285714,0.092996765,198,6
35.98260691,0.789951519,-0.314285714,-0.046869256,199,6
28.39225246,0.734156681,-0.314285714,0.117478829,200,6
40.97838455,0.738164348,-0.314285714,0.063160088,201,6
41.4033815,0.759458411,-0.314285714,0.141198437,202,6
36.49877806,0.689059417,-0.314285714,-0.352141716,203,6
48.29421705,0.692409378,-0.314285714,-0.435344298,204,6
26.642635,0.674303835,-0.314285714,0.624540823,205,6
27.54341482,0.684205674,-0.314285714,0.071788494,206,6
35.40129941,0.716954053,-0.314285714,0.316097452,207,6
30.22195394,0.779460776,-0.314285714,0.247495256,208,6
38.06904254,0.757912508,-0.314285714,-0.342470476,209,6
45.33229313,0.7538705,-0.314285714,0.304716899,210,6
33.28609319,0.790746653,-0.314285714,0.454567478,211,6
52.39200321,0.799549533,-0.314285714,-0.553437866,212,6
34.03668021,0.817919132,-0.314285714,0.339330534,213,6
54.01973713,0.811659076,-0.314285714,-0.625489904,214,6
37.02892113,0.781018619,-0.314285714,-0.262451064,215,6
28.24616965,0.803344031,-0.314285714,0.212276275,216,6
38.28148377,0.778602814,-0.314285714,-0.304722048,217,6
48.96703075,0.744844356,-0.314285714,-0.428875972,218,6
30.00224992,0.785561298,-0.314285714,0.156196007,219,6
16.14657858,0.81696674,-0.314285714,0.34545599,220,6
31.54715201,0.819953096,-0.314285714,0.179895561,221,6
19.71494864,0.842935517,-0.314285714,-0.105241991,222,6
17.53176831,0.974010654,-0.314285714,0.265224271,223,6
22.30994173,0.989082532,-0.314285714,0.396138751,224,6
25.42254511,0.964055091,-0.314285714,0.050777534,225,6
19.72634026,0.919190884,-0.314285714,0.178617334,226,6
19.91487886,0.956557788,-0.314285714,0.059119196,227,6
43.59352016,0.85374228,-0.314285714,0.307286736,228,6
20.47095503,0.878606611,-0.314285714,0.28315261,229,6
21.06889413,0.900759872,-0.314285714,0.379741687,230,6
28.06831488,0.817752177,-0.314285714,0.051455923,231,6
24.46058053,0.769819234,-0.314285714,0.204091338,232,6
36.78221309,0.760275281,-0.314285714,0.111110093,233,6
38.49099895,0.760751061,-0.314285714,0.172814635,234,6
30.8751583,0.728265072,-0.314285714,0.145727317,235,6
23.4676799,0.776729101,-0.314285714,0.393224514,236,6
23.59100464,0.676514878,-0.657142857,0.024039586,237,7
18.5323447,0.642635648,-0.657142857,0.283230671,238,7
23.33506375,0.638160165,-0.657142857,-0.082149165,239,7
31.95073082,0.653046449,-0.657142857,0.024757839,240,7
22.39174625,0.638282475,-0.657142857,0.0379493,241,7
18.16982388,0.631360395,-0.657142857,-0.396144089,242,7
18.67243958,0.625500118,-0.657142857,-0.37610716,243,7
38.68519097,0.675237388,-0.657142857,-0.015512702,244,7
25.24125195,0.646899479,-0.657142857,0.104353985,245,7
24.51491995,0.65281595,-0.657142857,0.138969263,246,7
25.81564642,0.632390409,-0.657142857,-0.152173471,247,7
31.35415762,0.651927913,-0.657142857,-0.201876111,248,7
38.80496102,0.687108337,-0.657142857,-0.219813961,249,7
22.77867424,0.662678124,-0.657142857,0.056352968,250,7
21.88711493,0.710837974,-0.657142857,0.327816172,251,7
37.98279216,0.717660668,-0.657142857,-0.315072859,252,7
37.80835622,0.708688426,-0.657142857,-0.226736799,253,7
17.57199476,0.668691108,-0.657142857,0.174920113,254,7
25.46334228,0.62511361,-0.657142857,-0.055581466,255,7
22.12500847,0.929388395,-0.657142857,0.590860127,256,7
24.38051886,0.844691093,-0.657142857,0.371660406,257,7
27.95780928,0.778889788,-0.657142857,0.110682522,258,7
23.2930891,0.8148224,-0.657142857,0.102718597,259,7
30.47304711,0.836513712,-0.657142857,0.226905614,260,7
28.25531101,0.789361677,-0.657142857,0.080377185,261,7
33.7917342,0.729683325,-0.657142857,-0.092718812,262,7
35.742132,0.712464254,-0.657142857,0.010079292,263,7
42.59240308,0.739053355,-0.657142857,0.032832874,264,7
32.87292199,0.751504887,-0.657142857,0.100955605,265,7
35.57998735,0.702112338,-0.657142857,0.092996765,266,7
32.63997549,0.700928683,-0.657142857,-0.046869256,267,7
24.51230099,0.659086401,-0.657142857,0.117478829,268,7
29.73120583,0.684118774,-0.657142857,0.063160088,269,7
13.23158721,0.657864316,-0.657142857,-0.352141716,270,7
32.52924223,0.678270077,-0.657142857,-0.435344298,271,7
21.03722415,0.694513536,-0.657142857,0.316097452,272,7
13.32684509,0.73416327,-0.657142857,0.247495256,273,7
27.62630449,0.732968023,-0.657142857,-0.342470476,274,7
55.79541379,0.720177201,-0.657142857,-0.625489904,275,7
20.33836277,0.825766805,-0.657142857,0.065617987,276,7
21.14389274,0.763122107,-0.657142857,0.670870244,277,7
37.92440903,0.691520535,-0.657142857,-0.262451064,278,7
17.3076226,0.721097395,-0.657142857,0.212276275,279,7
33.25911604,0.6926841,-0.657142857,-0.304722048,280,7
21.78493057,0.826609165,-0.657142857,0.34545599,281,7
32.11124258,0.882770368,-0.657142857,-0.105241991,282,7
16.90754861,0.840270385,-0.657142857,0.178617334,283,7
27.61460483,0.88389971,-0.657142857,0.059119196,284,7
20.55607939,0.806916739,-0.657142857,0.322513471,285,7
25.51943377,0.830535698,-0.657142857,0.379741687,286,7
24.12447305,0.749257732,-0.657142857,0.051455923,287,7
14.24175551,0.716345744,-0.657142857,0.204091338,288,7
18.66868501,0.713913389,-0.657142857,0.111110093,289,7
28.97436798,0.696527835,-0.657142857,0.172814635,290,7
18.71906248,0.662043457,-0.657142857,0.145727317,291,7
23.12558972,0.830070858,-0.314285714,0.024039586,292,8
30.92680714,0.847897793,-0.314285714,0.283230671,293,8
19.45355752,0.816170376,-0.314285714,-0.082149165,294,8
21.08710506,0.698573616,-0.314285714,0.233249123,295,8
30.02447668,0.768268866,-0.314285714,0.024757839,296,8
19.46175737,0.796680669,-0.314285714,0.0379493,297,8
55.11952014,0.86923908,-0.314285714,-0.396144089,298,8
50.54923343,0.84300649,-0.314285714,-0.37610716,299,8
27.77343335,0.739375934,-0.314285714,0.030260449,300,8
48.17376672,0.780153617,-0.314285714,-0.015512702,301,8
39.94029544,0.813206348,-0.314285714,0.104353985,302,8
35.53850447,0.615457024,-0.314285714,-0.071903459,303,8
21.77259746,0.68853691,-0.314285714,0.582089937,304,8
28.72853634,0.920202609,-0.314285714,0.371660406,305,8
29.36302948,0.688969678,-0.314285714,-0.018179249,306,8
12.44740134,0.569429728,-0.314285714,0.396588657,307,8
18.08247771,0.564100667,-0.314285714,0.101868898,308,8
24.21621358,0.639582128,-0.314285714,0.226905614,309,8
